Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2020/03/13;1600 UTC;0;977.3;978.4;977.3;2796.7;32.3;24;32.3;29.6;24.7;22.4;70.0;60.0;62.0;342.0;7.2;.1;NE;PI;BOM JESUS DO PIAUI;A326;-9.08333333;-44.32638888;296;17/07/07
2021/09/10;1200 UTC;;;;;;;;;;;;;;;;;;S;SC;INDAIAL;A817;-26.91361111;-49.26805554;72.24;02/07/06
2021/10/18;0700 UTC;;974.9;974.9;974.3;;22.3;19.1;22.8;22.3;19.2;19;82.0;80.0;82.0;;;;CO;MS;TRES LAGOAS;A704;-20.78333333;-51.71222222;328.94;03/09/01
2021/10/04;0100 UTC;;;;;;;;;;;;;;;;;;CO;MT;SORRISO;A904;-12.555;-55.72277777;379.31;16/12/02
2021/01/09;0100 UTC;0;1013.3;1013.4;1013;;24;23.7;24.7;23.8;23.8;22.7;98.0;89.0;98.0;228.0;1.7;.7;S;SC;ARARANGUA;A867;-28.931353;-49.49792;2;28/09/08
2020/06/08;0300 UTC;;;;;;;;;;;;;;;;;;NE;AL;PIRANHAS;A371;-9.62222221;-37.76722221;187;20/09/17
2021/09/14;1500 UTC;;;;;;;;;;;;;;;;;;CO;MT;PONTES E LACERDA;A937;-15.23444444;-59.3461111;272.53;30/01/08
2022/06/13;0400 UTC;0;913.6;914;913.6;;15.8;9.2;16.9;15.8;12;9.2;74.0;65.0;65;180.0;7.7;3.9;SE;MG;TRES MARIAS;A528;-18.200855;-45.459836;931.01;25/08/06
2022/03/20;1100 UTC;0;958.6;958.6;957.9;491;22.4;18.3;22.4;21.8;18.5;18;81.0;77.0;78.0;210.0;7.6;2.9;S;PR;JOAQUIM TAVORA;A821;-23.505266;-49.946387;512.67;23/11/06
2022/11/14;1800 UTC;.2;1001.2;1001.8;1001.2;2873.4;30.7;12.4;31.2;29.9;16.5;12;44.0;32.0;33.0;278.0;9.9;3.7;S;RS;CAMPO BOM;A884;-29.674293;-51.064042;23.35;29/11/13
2021/03/09;1800 UTC;;;;;;;;;;;;;;;;;;NE;RN;CALCANHAR;A344;-5.16;-35.48749999;9.82;08/05/08
2020/10/08;0500 UTC;;1005;1005.7;1005;;23;20.9;23.4;22.8;21.1;20.6;88.0;87.0;88.0;25.0;2.4;1.3;NE;AL;CORURIPE;A355;-10.1286111;-36.28638888;82.39;06/09/08
2020/09/15;0300 UTC;;;;;;;;;;;;;;;;;;CO;MT;SORRISO;A904;-12.555107;-55.722863;379.31;16/12/02
2022/06/13;1000 UTC;;;;;;;;;;;;;;;;;;N;AM;MANICORE;A133;-5.7886111;-61.28833333;40.64;12/12/11
2020/06/14;2200 UTC;;;;;;;;;;;;;;;;;;S;PR;CAMPINA DA LAGOA;B803;-24.570861;-52.800256;598;04/08/16
2021/01/19;0000 UTC;0;971.9;973.1;971.8;;23.4;22.3;23.7;23.4;22.5;22.1;94.0;92.0;94.0;21.0;2.2;1.2;N;PA;SAO FELIX DO XINGU;A216;-6.639622;-51.956966;211;15/11/16
2022/11/24;2000 UTC;;;;;;;;;;;;;;;;;;N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;220.98;27/10/09
2020/03/19;0700 UTC;;;;;;;;;;;;;;;;;;N;AP;ITAUBAL;A251;.567833;-50.823528;21;24/08/17
2021/01/05;1200 UTC;0;960.6;960.6;960.5;844.2;23.1;21.1;23.5;22.3;21.7;20.7;93.0;87.0;89;338.0;3.7;1.5;SE;MG;TIMOTEO;A511;-19.57388888;-42.62249999;493.42;22/02/06
2020/01/10;1000 UTC;0;971.6;971.6;971;96.5;22.7;21.9;22.7;22.5;22;21.8;96.0;95.0;95.0;307.0;2.5;1.3;NE;PI;VALENCA DO PIAUI;A363;-6.399274;-41.739953;313.39;18/04/09
2022/06/20;0400 UTC;0;1009.8;1010;1009.7;;17.9;17.3;18;17.4;17.5;16.9;97.0;96.0;97.0;;;;NE;BA;PORTO SEGURO;A427;-16.38888888;-39.18249999;86.36;10/07/08
2022/11/25;1200 UTC;0;822.4;822.5;821.8;2133.7;9.2;8.9;9.5;7.8;9.2;7.4;98.0;97.0;98.0;156.0;12.7;3.6;S;SC;BOM JARDIM DA SERRA - MORRO DA IGREJA;A845;-28.12694443;-49.47972221;1790.38;17/06/07
2022/01/04;0300 UTC;0;916.8;917.3;916.8;;19.9;19;19.9;19.8;19;18.8;94.0;94.0;94.0;98.0;2.7;1.4;SE;MG;GUANHAES;A533;-18.78694444;-42.94305555;852.68;02/06/07
2020/05/25;0500 UTC;;;;;;;;;;;;;;;;;;N;AM;COARI;A117;-4.097483;-63.145322;33.84;12/04/08
2021/05/02;1000 UTC;;;;;;;;;;;;;;;;;;CO;GO;ARAGARCAS;A013;-15.90277777;-52.24527777;327.35;13/07/07
2021/01/26;2000 UTC;;;;;;;;;;;;;;;;;;N;RR;BOA VISTA;A135;2.81694443;-60.69083333;82.35;26/08/10
2022/05/31;0200 UTC;0;956.9;957;956.6;;22.2;19;22.8;22.2;19.3;19;82.0;80.0;82.0;168.0;3.5;3.1;CO;MS;SONORA;A761;-17.63527777;-54.76055555;495.25;30/11/12
2021/10/19;0000 UTC;0;972.4;972.4;971.9;;14.3;11.3;15.3;14.3;11.4;10.1;83.0;71.0;83.0;109.0;6.8;2.6;S;RS;ENCRUZILHADA DO SUL;A893;-30.54305555;-52.52472221;427.75;15/03/18
2021/01/29;0700 UTC;;;;;;;;;;;;;;;;;;N;PA;ALTAMIRA;A253;-3.27027777;-52.39472221;191;25/10/18
2022/11/22;1300 UTC;0;1000.5;1000.5;1000.3;355.1;22.9;20.5;22.9;21.9;21.2;20.5;92.0;86.0;86.0;59.0;;;N;AM;S. G. DA CACHOEIRA;A134;-.125207;-67.061246;79.67;31/08/11
